                                                              REPORTE DE PEDIDOS
==========================================================================================================================================================================
Codigo Pedido       DNI Cliente         Subtotal            Fecha               Estado              Total               Prioridad           Recargo/Estado/Dias en espera
RBE-789             81114108            91.66               16/11/2023          Inactivo            91.66               Prioridad Baja      3                   
UDR-957             54716824            98.13               16/11/2023          Inactivo            98.13               Prioridad Baja      3                   
KJX-387             78757121            89.69               01/11/2023          Inactivo            98.659              Prioridad Alta      10                  
KSO-608             26233063            28.05               22/11/2023          Inactivo            28.05               Prioridad Baja      5                   
CIM-038             86241107            12.9                05/12/2023          Activo              12.9                Prioridad Media     Activo              
YOT-530             89298238            13.65               05/12/2023          Inactivo            14.6055             Prioridad Alta      7                   
BWD-036             24995742            51.71               05/11/2023          Inactivo            51.71               Prioridad Media     Inactivo            
OTW-288             15210391            56.66               23/12/2023          Inactivo            56.66               Prioridad Media     Inactivo            
QUU-384             89429489            34.41               25/12/2023          Inactivo            34.41               Prioridad Baja      4                   
BMJ-772             40348917            10.1                13/11/2023          Inactivo            10.1                Prioridad Baja      3                   
GBJ-693             96659352            10.63               14/12/2023          Inactivo            10.63               Prioridad Baja      4                   
TZY-323             16151792            45.23               18/11/2023          Inactivo            45.23               Prioridad Baja      4                   
WLL-607             91897732            36.34               18/12/2023          Inactivo            38.8838             Prioridad Alta      7                   
SSD-176             43877279            92.66               17/11/2023          Inactivo            92.66               Prioridad Baja      4                   
VDD-853             37110873            12.09               04/11/2023          Activo              12.09               Prioridad Media     Activo              
VXS-438             15210391            23.43               25/11/2023          Inactivo            24.6015             Prioridad Alta      5                   
QFR-958             27912250            49.96               09/12/2023          Inactivo            49.96               Prioridad Media     Inactivo            
AQS-362             73786035            96.75               24/12/2023          Inactivo            106.425             Prioridad Alta      10                  
ZEX-027             54716824            51.64               10/12/2023          Inactivo            51.64               Prioridad Media     Inactivo            
JJN-837             71984468            82.01               18/11/2023          Activo              82.01               Prioridad Media     Activo              
XOA-735             78078115            13.26               04/11/2023          Inactivo            13.923              Prioridad Alta      5                   
DFJ-952             35565959            85.53               12/12/2023          Inactivo            85.53               Prioridad Baja      3                   
XBD-314             78922174            55.94               11/11/2023          Inactivo            58.737              Prioridad Alta      5                   
ZVA-180             50365593            99.5                18/12/2023          Inactivo            99.5                Prioridad Baja      5                   
BZS-261             35565959            82.84               31/12/2023          Activo              82.84               Prioridad Media     Activo              
KBY-991             58187172            50.98               30/11/2023          Inactivo            56.078              Prioridad Alta      10                  
UTN-601             52097922            37.98               08/12/2023          Inactivo            41.778              Prioridad Alta      10                  
XSD-310             87813843            27.79               16/11/2023          Inactivo            30.569              Prioridad Alta      10                  
TKM-141             23928045            82.96               02/11/2023          Inactivo            82.96               Prioridad Baja      5                   
HFM-021             15210391            73.68               06/11/2023          Activo              73.68               Prioridad Media     Activo              
MTF-868             88995291            89.06               18/12/2023          Inactivo            89.06               Prioridad Baja      3                   
OQI-373             86402303            33.23               28/12/2023          Inactivo            33.23               Prioridad Baja      4                   
FQG-293             62324793            23.97               01/11/2023          Inactivo            25.6479             Prioridad Alta      7                   
BTO-226             87800799            45.48               30/11/2023          Activo              45.48               Prioridad Media     Activo              
DEN-125             17913944            27.85               11/12/2023          Inactivo            30.635              Prioridad Alta      10                  
UTN-601             17972674            92.1                21/12/2023          Inactivo            101.31              Prioridad Alta      10                  
SSE-115             79420973            68.58               09/12/2023          Inactivo            68.58               Prioridad Baja      5                   
OQI-373             71378466            16.16               18/12/2023          Inactivo            16.16               Prioridad Media     Inactivo            
HLR-109             88995291            14.65               05/11/2023          Inactivo            14.65               Prioridad Baja      5                   
OFS-384             83236386            23.29               23/12/2023          Inactivo            23.29               Prioridad Baja      3                   
XZR-640             49087435            16.34               08/11/2023          Inactivo            17.974              Prioridad Alta      10                  
TKM-141             32565207            89.94               27/11/2023          Inactivo            96.2358             Prioridad Alta      7                   
DFF-034             81114108            47.34               27/12/2023          Inactivo            52.074              Prioridad Alta      10                  
DEN-125             73786035            78.87               23/12/2023          Inactivo            82.8135             Prioridad Alta      5                   
SNY-500             44229880            93.97               11/11/2023          Inactivo            103.367             Prioridad Alta      10                  
CSZ-863             79901434            40.11               10/11/2023          Inactivo            40.11               Prioridad Baja      4                   
BWD-036             95751208            43.9                10/12/2023          Inactivo            43.9                Prioridad Media     Inactivo            
EVN-510             67418025            92.91               18/12/2023          Inactivo            92.91               Prioridad Media     Inactivo            
KCO-488             35584593            11.29               14/12/2023          Inactivo            11.8545             Prioridad Alta      5                   
VCL-867             25171011            10.43               25/11/2023          Activo              10.43               Prioridad Media     Activo              
YUQ-590             20864087            45.19               18/12/2023          Inactivo            45.19               Prioridad Baja      5                   
OFS-384             81114108            92.5                20/11/2023          Activo              92.5                Prioridad Media     Activo              
TMJ-043             78078115            50.59               25/11/2023          Inactivo            53.1195             Prioridad Alta      5                   
OFS-384             64394265            60.06               11/12/2023          Activo              60.06               Prioridad Media     Activo              
BRD-969             95751208            41.05               14/12/2023          Inactivo            43.1025             Prioridad Alta      5                   
IDO-503             16151792            99.96               18/11/2023          Inactivo            106.957             Prioridad Alta      7                   
GKG-558             26290971            30.01               07/11/2023          Inactivo            30.01               Prioridad Baja      5                   
YUQ-590             85949265            34.71               24/11/2023          Inactivo            34.71               Prioridad Media     Inactivo            
TZY-323             45828535            42.05               21/12/2023          Inactivo            46.255              Prioridad Alta      10                  
YZD-580             38913831            54.64               19/12/2023          Inactivo            54.64               Prioridad Baja      4                   
CNN-411             42798099            10.18               14/12/2023          Inactivo            11.198              Prioridad Alta      10                  
SSE-115             26976877            70.62               20/12/2023          Inactivo            77.682              Prioridad Alta      10                  
VJI-529             33397650            48.94               06/11/2023          Inactivo            48.94               Prioridad Baja      3                   
TXM-139             43043986            23.37               05/11/2023          Inactivo            23.37               Prioridad Baja      5                   
EUZ-452             87800799            86.83               20/11/2023          Inactivo            95.513              Prioridad Alta      10                  
PPX-620             80048864            99.18               12/11/2023          Activo              99.18               Prioridad Media     Activo              
UCX-285             22280452            22.16               03/11/2023          Inactivo            22.16               Prioridad Baja      3                   
TZY-323             71984468            23.45               17/12/2023          Inactivo            23.45               Prioridad Baja      3                   
QRC-609             87800799            11.18               26/12/2023          Inactivo            11.739              Prioridad Alta      5                   
JFC-432             38913831            49.91               03/11/2023          Inactivo            49.91               Prioridad Baja      4                   
XLF-273             57690875            24.07               26/12/2023          Activo              24.07               Prioridad Media     Activo              
CIM-038             94080926            98.72               14/12/2023          Inactivo            98.72               Prioridad Media     Inactivo            
LWG-915             23928045            14.08               28/12/2023          Inactivo            14.08               Prioridad Baja      3                   
ICX-503             66409237            66.17               30/12/2023          Inactivo            66.17               Prioridad Baja      3                   
BXY-119             13245501            37.11               10/11/2023          Activo              37.11               Prioridad Media     Activo              
HFC-845             86241107            89.32               24/11/2023          Inactivo            95.5724             Prioridad Alta      7                   
YOT-530             57263719            99.83               26/11/2023          Inactivo            99.83               Prioridad Baja      4                   
KQQ-136             26976877            53.42               14/11/2023          Inactivo            57.1594             Prioridad Alta      7                   
RDT-761             19829266            72.41               15/12/2023          Activo              72.41               Prioridad Media     Activo              
FQG-293             69975105            38.27               05/11/2023          Activo              38.27               Prioridad Media     Activo              
PFD-286             76388967            80.09               22/12/2023          Inactivo            85.6963             Prioridad Alta      7                   
DIQ-718             69324480            92.4                26/11/2023          Activo              92.4                Prioridad Media     Activo              
QIL-029             13245501            24.52               15/11/2023          Inactivo            26.972              Prioridad Alta      10                  
JXD-139             89298238            83.68               10/11/2023          Inactivo            87.864              Prioridad Alta      5                   
QFP-254             73185299            88.88               10/11/2023          Activo              88.88               Prioridad Media     Activo              
XBD-314             78922174            20.42               14/12/2023          Inactivo            20.42               Prioridad Baja      3                   
TMJ-043             11602775            69.62               20/12/2023          Inactivo            74.4934             Prioridad Alta      7                   
BMJ-772             12663268            13.35               30/12/2023          Inactivo            13.35               Prioridad Baja      3                   
KDA-627             60574154            75.06               14/11/2023          Inactivo            82.566              Prioridad Alta      10                  
FLW-631             38913831            52.17               02/12/2023          Activo              52.17               Prioridad Media     Activo              
OTH-462             57263719            36.53               17/12/2023          Inactivo            36.53               Prioridad Baja      5                   
RBE-789             86402303            80.08               06/12/2023          Inactivo            80.08               Prioridad Media     Inactivo            
KQA-580             48184351            49.68               20/11/2023          Inactivo            49.68               Prioridad Baja      3                   
ZVA-180             54761731            97.93               10/11/2023          Inactivo            104.785             Prioridad Alta      7                   
VRR-793             85949265            92.16               17/12/2023          Inactivo            92.16               Prioridad Baja      4                   
DFJ-952             78078115            69.46               04/11/2023          Activo              69.46               Prioridad Media     Activo              
DON-719             15210391            51.48               15/12/2023          Activo              51.48               Prioridad Media     Activo              
UXG-019             86241107            91.18               19/12/2023          Inactivo            91.18               Prioridad Baja      3                   
YUQ-590             64394265            65.62               31/11/2023          Activo              65.62               Prioridad Media     Activo              
DOV-560             76388967            79.03               08/11/2023          Inactivo            79.03               Prioridad Baja      3                   
ZWF-661             77191257            55.83               01/12/2023          Inactivo            55.83               Prioridad Baja      5                   
HFM-021             29337157            59.07               30/12/2023          Inactivo            62.0235             Prioridad Alta      5                   
AWB-345             93845419            47.94               29/11/2023          Activo              47.94               Prioridad Media     Activo              
HFM-021             86402303            66.93               24/12/2023          Inactivo            66.93               Prioridad Baja      3                   
BCK-361             40112594            78.58               22/12/2023          Inactivo            84.0806             Prioridad Alta      7                   
FVB-607             54761731            89.56               16/12/2023          Inactivo            95.8292             Prioridad Alta      7                   
LDR-510             87813843            27.93               22/12/2023          Inactivo            29.3265             Prioridad Alta      5                   
HFC-845             36008913            80.77               31/12/2023          Activo              80.77               Prioridad Media     Activo              
QVJ-982             79372768            58.98               31/12/2023          Inactivo            58.98               Prioridad Media     Inactivo            
YEZ-591             63437380            15.91               02/12/2023          Inactivo            17.501              Prioridad Alta      10                  
UXG-019             19829266            67.82               02/12/2023          Activo              67.82               Prioridad Media     Activo              
YYK-309             64394265            12.42               20/11/2023          Inactivo            13.2894             Prioridad Alta      7                   
KWP-672             42157219            82.82               03/12/2023          Inactivo            82.82               Prioridad Baja      4                   
KWP-672             77191257            64.99               03/12/2023          Inactivo            68.2395             Prioridad Alta      5                   
HFM-021             84165595            36.46               12/12/2023          Inactivo            36.46               Prioridad Media     Inactivo            
OXP-732             91897732            62.52               11/12/2023          Inactivo            65.646              Prioridad Alta      5                   
FVB-607             89863424            80.02               18/11/2023          Inactivo            80.02               Prioridad Baja      5                   
GXF-122             79420973            58.79               09/11/2023          Activo              58.79               Prioridad Media     Activo              
VZV-827             54761731            91.85               24/11/2023          Inactivo            91.85               Prioridad Baja      5                   
WZD-331             29337157            39.23               01/11/2023          Inactivo            39.23               Prioridad Baja      3                   
BXY-119             31193794            58.69               16/11/2023          Inactivo            58.69               Prioridad Baja      5                   
PFD-286             91897732            59.42               01/11/2023          Inactivo            62.391              Prioridad Alta      5                   
QUU-384             43877279            39.33               20/11/2023          Inactivo            39.33               Prioridad Media     Inactivo            
UXG-019             89429489            29.4                08/12/2023          Inactivo            32.34               Prioridad Alta      10                  
EBI-299             89148118            21.27               18/11/2023          Inactivo            21.27               Prioridad Media     Inactivo            
ISU-815             32821689            76.93               25/11/2023          Inactivo            76.93               Prioridad Baja      5                   
VCL-867             89429489            76.4                12/11/2023          Activo              76.4                Prioridad Media     Activo              
TZY-323             26290971            36.7                11/11/2023          Inactivo            36.7                Prioridad Media     Inactivo            
JFC-432             26233063            56.84               23/11/2023          Inactivo            56.84               Prioridad Baja      3                   
SSD-176             55552996            55.38               27/11/2023          Inactivo            59.2566             Prioridad Alta      7                   
XSD-310             52097922            80.5                18/12/2023          Inactivo            80.5                Prioridad Baja      3                   
HLR-109             36380447            60.53               26/11/2023          Inactivo            66.583              Prioridad Alta      10                  
XLF-273             22777006            47.88               20/12/2023          Inactivo            52.668              Prioridad Alta      10                  
LDR-510             85949265            47.57               02/11/2023          Inactivo            52.327              Prioridad Alta      10                  
YJD-279             17913944            21.04               18/11/2023          Inactivo            21.04               Prioridad Baja      5                   
UWA-476             33713901            31.55               15/12/2023          Inactivo            31.55               Prioridad Baja      5                   
SSD-176             78078115            98.88               24/12/2023          Activo              98.88               Prioridad Media     Activo              
DUG-251             93160528            40.37               21/12/2023          Inactivo            40.37               Prioridad Media     Inactivo            
SJQ-827             50375303            33.16               09/11/2023          Activo              33.16               Prioridad Media     Activo              
FVQ-662             31611146            24.45               05/11/2023          Activo              24.45               Prioridad Media     Activo              
VXS-438             50375303            79.03               20/11/2023          Inactivo            79.03               Prioridad Baja      3                   
KJX-387             73535476            23.31               11/11/2023          Inactivo            23.31               Prioridad Baja      3                   
FEG-454             86241107            26.45               03/11/2023          Inactivo            26.45               Prioridad Baja      3                   
VJI-529             69324480            16.49               19/11/2023          Inactivo            17.6443             Prioridad Alta      7                   
VJI-529             35565959            10.85               21/12/2023          Inactivo            10.85               Prioridad Baja      3                   
RDT-761             42798099            90.23               04/11/2023          Inactivo            90.23               Prioridad Baja      5                   
BRD-969             73914283            18.15               16/12/2023          Inactivo            18.15               Prioridad Baja      5                   
OQI-373             87813843            10.44               30/12/2023          Inactivo            10.44               Prioridad Media     Inactivo            
TZY-323             77191257            12.24               06/11/2023          Inactivo            12.24               Prioridad Baja      4                   
AFL-718             49087435            59.95               28/12/2023          Inactivo            59.95               Prioridad Media     Inactivo            
VVS-017             33713901            77.23               07/11/2023          Inactivo            77.23               Prioridad Baja      5                   
DFJ-952             25171011            14.12               02/12/2023          Activo              14.12               Prioridad Media     Activo              
JXD-139             35565959            89.66               05/12/2023          Inactivo            89.66               Prioridad Media     Inactivo            
AVM-258             62566305            95.09               08/12/2023          Inactivo            104.599             Prioridad Alta      10                  
QIL-029             93845419            42.56               23/12/2023          Inactivo            46.816              Prioridad Alta      10                  
JCW-489             13245501            24.91               28/11/2023          Inactivo            24.91               Prioridad Baja      4                   
RBE-789             32904023            76.21               01/11/2023          Inactivo            76.21               Prioridad Baja      4                   
PJG-338             78078115            79.48               27/11/2023          Inactivo            83.454              Prioridad Alta      5                   
DUG-251             99842319            75.64               11/11/2023          Inactivo            75.64               Prioridad Media     Inactivo            
KQQ-136             96659352            16.14               14/11/2023          Inactivo            16.14               Prioridad Baja      4                   
SNY-500             45783712            29.51               28/11/2023          Inactivo            30.9855             Prioridad Alta      5                   
CNQ-172             62566305            33.75               15/12/2023          Activo              33.75               Prioridad Media     Activo              
KJX-387             13245501            26.03               22/12/2023          Inactivo            27.8521             Prioridad Alta      7                   
DUG-251             81114108            44.39               20/11/2023          Inactivo            44.39               Prioridad Media     Inactivo            
SAM-013             79372768            10.67               22/11/2023          Inactivo            11.737              Prioridad Alta      10                  
ZEX-027             77191257            45.48               23/12/2023          Inactivo            48.6636             Prioridad Alta      7                   
OTW-288             64394265            45.45               16/11/2023          Inactivo            48.6315             Prioridad Alta      7                   
TXM-139             48184351            91.09               26/11/2023          Inactivo            91.09               Prioridad Baja      4                   
XBD-314             62324793            37.7                25/11/2023          Inactivo            37.7                Prioridad Baja      5                   
YUQ-590             26976877            15.03               22/11/2023          Inactivo            15.03               Prioridad Baja      3                   
FQG-293             95161027            54.79               08/12/2023          Inactivo            54.79               Prioridad Baja      4                   
OFS-384             38637282            99.19               09/12/2023          Activo              99.19               Prioridad Media     Activo              
DON-719             69639726            23.58               12/11/2023          Inactivo            23.58               Prioridad Baja      4                   
TZY-323             50365593            40.69               23/12/2023          Activo              40.69               Prioridad Media     Activo              
YYU-726             77642521            86.8                08/11/2023          Inactivo            86.8                Prioridad Media     Inactivo            
SAM-013             32904023            75.74               29/11/2023          Inactivo            75.74               Prioridad Media     Inactivo            
FLJ-040             27912250            81.66               08/11/2023          Inactivo            89.826              Prioridad Alta      10                  
JFC-432             84165595            47.11               19/11/2023          Inactivo            51.821              Prioridad Alta      10                  
TKM-141             90237332            95.93               26/12/2023          Inactivo            95.93               Prioridad Baja      3                   
ONB-903             53166028            84.48               02/11/2023          Inactivo            84.48               Prioridad Baja      4                   
HFM-021             69975105            19.11               19/12/2023          Inactivo            19.11               Prioridad Media     Inactivo            
AVM-258             77191257            38.97               05/12/2023          Activo              38.97               Prioridad Media     Activo              
MMA-577             52097922            46.18               07/12/2023          Inactivo            46.18               Prioridad Baja      5                   
FVQ-662             43053402            87.99               16/12/2023          Inactivo            96.789              Prioridad Alta      10                  
ICX-503             89298238            71.68               19/11/2023          Inactivo            71.68               Prioridad Media     Inactivo            
GBJ-693             45877001            58.21               14/11/2023          Inactivo            61.1205             Prioridad Alta      5                   
FEG-454             67418025            47.02               15/11/2023          Inactivo            47.02               Prioridad Media     Inactivo            
QFP-254             12663268            97.73               07/12/2023          Activo              97.73               Prioridad Media     Activo              
QVJ-982             41036366            91.92               04/12/2023          Inactivo            91.92               Prioridad Media     Inactivo            
OTH-462             89863424            86.24               16/12/2023          Activo              86.24               Prioridad Media     Activo              
EBI-299             40112594            57.53               27/12/2023          Inactivo            63.283              Prioridad Alta      10                  
QHC-492             84165595            61.79               31/12/2023          Activo              61.79               Prioridad Media     Activo              
YMU-875             45828535            26.29               16/11/2023          Inactivo            26.29               Prioridad Baja      3                   
KQQ-136             32904023            84.75               29/11/2023          Inactivo            93.225              Prioridad Alta      10                  
TMJ-043             69975105            28.54               30/12/2023          Inactivo            28.54               Prioridad Baja      5                   
QRC-609             89863424            54.18               29/11/2023          Inactivo            54.18               Prioridad Baja      5                   
ZAF-449             99842319            85.9                30/12/2023          Inactivo            94.49               Prioridad Alta      10                  
BXY-119             89429489            97.84               06/11/2023          Inactivo            97.84               Prioridad Baja      3                   
CRU-009             66409237            73.53               23/12/2023          Activo              73.53               Prioridad Media     Activo              
OQI-373             78922174            36.75               27/12/2023          Inactivo            36.75               Prioridad Media     Inactivo            
VZV-827             45783712            99.6                03/11/2023          Inactivo            109.56              Prioridad Alta      10                  
YMU-875             45783712            25.28               10/11/2023          Inactivo            26.544              Prioridad Alta      5                   
FVQ-662             40112594            39.21               31/11/2023          Activo              39.21               Prioridad Media     Activo              
HLR-109             44229880            54.48               30/12/2023          Inactivo            54.48               Prioridad Media     Inactivo            
YYU-726             67418025            88.13               24/11/2023          Inactivo            88.13               Prioridad Baja      4                   
VVS-017             50365593            31.97               18/11/2023          Inactivo            31.97               Prioridad Baja      3                   
CRU-009             54716824            38.15               22/11/2023          Inactivo            38.15               Prioridad Baja      4                   
NSR-955             93845419            77.86               28/12/2023          Activo              77.86               Prioridad Media     Activo              
YGV-332             77484838            12.6                25/11/2023          Inactivo            12.6                Prioridad Media     Inactivo            
VXS-438             58187172            91.35               19/12/2023          Activo              91.35               Prioridad Media     Activo              
XLF-273             17913944            96.8                10/12/2023          Inactivo            103.576             Prioridad Alta      7                   
ZWF-661             57263719            31.02               11/12/2023          Inactivo            31.02               Prioridad Baja      4                   
AQS-362             16151792            61.14               21/12/2023          Inactivo            61.14               Prioridad Baja      3                   
OQI-373             95161027            51.22               12/12/2023          Inactivo            51.22               Prioridad Media     Inactivo            
VDD-853             90365520            34.35               17/11/2023          Inactivo            34.35               Prioridad Baja      3                   
JXD-139             79140840            73.27               10/12/2023          Activo              73.27               Prioridad Media     Activo              
YJD-279             97403853            62.82               10/12/2023          Inactivo            69.102              Prioridad Alta      10                  
JDC-028             87800799            48.65               19/12/2023          Inactivo            53.515              Prioridad Alta      10                  
EUZ-452             79372768            29.29               13/11/2023          Inactivo            29.29               Prioridad Baja      4                   
OBI-353             73914283            12.11               28/12/2023          Activo              12.11               Prioridad Media     Activo              
VCL-867             81114108            79.13               23/12/2023          Inactivo            79.13               Prioridad Baja      4                   
TXM-139             53166028            37.34               23/11/2023          Inactivo            37.34               Prioridad Media     Inactivo            
RDT-761             45877001            33.25               15/11/2023          Inactivo            34.9125             Prioridad Alta      5                   
XTE-383             57690875            40.27               12/12/2023          Activo              40.27               Prioridad Media     Activo              
SSD-176             45783712            59.17               08/12/2023          Activo              59.17               Prioridad Media     Activo              
GBJ-693             97403853            44.45               11/11/2023          Inactivo            44.45               Prioridad Baja      5                   
XSD-310             31611146            84.14               07/11/2023          Inactivo            84.14               Prioridad Baja      4                   
XSD-310             71378466            25.6                15/11/2023          Inactivo            26.88               Prioridad Alta      5                   
RAH-420             15561764            46.41               14/12/2023          Inactivo            46.41               Prioridad Baja      4                   
AVM-258             73185299            96.03               03/12/2023          Inactivo            96.03               Prioridad Baja      3                   
TZY-323             95161027            63.39               27/12/2023          Inactivo            63.39               Prioridad Media     Inactivo            
DOV-560             57263719            62.54               10/12/2023          Activo              62.54               Prioridad Media     Activo              
III-576             49087435            21.61               16/12/2023          Inactivo            21.61               Prioridad Media     Inactivo            
DFJ-952             40348917            79.84               13/11/2023          Inactivo            79.84               Prioridad Baja      4                   
QRC-609             79140840            35.54               07/12/2023          Inactivo            37.317              Prioridad Alta      5                   
VRR-793             40348917            36.03               09/11/2023          Inactivo            38.5521             Prioridad Alta      7                   
LWG-915             27912250            48.61               03/12/2023          Inactivo            48.61               Prioridad Baja      5                   
GLC-370             42928709            21.81               23/12/2023          Inactivo            22.9005             Prioridad Alta      5                   
SPR-580             20864087            21.66               11/11/2023          Inactivo            21.66               Prioridad Media     Inactivo            
BWD-036             77191257            83.88               12/12/2023          Inactivo            92.268              Prioridad Alta      10                  
XZG-521             52097922            27.2                29/12/2023          Activo              27.2                Prioridad Media     Activo              
OTS-581             54761731            67.73               13/12/2023          Inactivo            67.73               Prioridad Media     Inactivo            
AQS-362             15210391            72.28               12/12/2023          Activo              72.28               Prioridad Media     Activo              
OTW-288             94080926            61.9                06/12/2023          Inactivo            61.9                Prioridad Media     Inactivo            
TXM-139             79901434            79.85               14/11/2023          Inactivo            85.4395             Prioridad Alta      7                   
BWD-036             80048864            35                  23/12/2023          Inactivo            35                  Prioridad Baja      3                   
XZG-521             26976877            79.34               01/12/2023          Inactivo            79.34               Prioridad Baja      4                   
SPR-580             94080926            76.3                09/12/2023          Inactivo            80.115              Prioridad Alta      5                   
OPJ-039             62324793            27.36               05/11/2023          Inactivo            29.2752             Prioridad Alta      7                   
ZWF-661             32565207            10                  05/12/2023          Inactivo            10                  Prioridad Media     Inactivo            
KBY-991             45877001            21.22               05/12/2023          Inactivo            21.22               Prioridad Media     Inactivo            
